Provinsi,Tahun,Laju_PDRB,TPT,GK_Urban,GK_Rural,Klaster_Pulau
PAPUA SELATAN,2024,5.09,4.4,646036.0,442090.0,Maluku-Papua
PAPUA SELATAN,2025,3.39,4.470000000000001,703304.0,472503.0,Maluku-Papua
PAPUA TENGAH,2021,15.16,3.55,634703.0,573510.0,Maluku-Papua
PAPUA TENGAH,2022,8.97,3.215,676775.0,608205.0,Maluku-Papua
PAPUA TENGAH,2023,5.95,3.08,743289.0,661946.0,Maluku-Papua
PAPUA TENGAH,2024,4.36,2.62,920104.0,714270.0,Maluku-Papua
PAPUA TENGAH,2025,-21.8,3.585,1011257.0,757877.0,Maluku-Papua
RIAU,2021,3.36,4.6899999999999995,595270.0,546807.0,Sumatera
RIAU,2022,4.55,4.385,642008.0,582224.0,Sumatera
RIAU,2023,4.21,4.24,698241.0,632704.0,Sumatera
RIAU,2024,3.52,3.7750000000000004,740222.0,669374.0,Sumatera
RIAU,2025,4.79,4.140000000000001,758174.0,683064.0,Sumatera
SULAWESI BARAT,2021,2.57,3.205,368899.0,363308.0,Sulawesi
SULAWESI BARAT,2022,2.26,2.7249999999999996,404705.0,405377.0,Sulawesi
SULAWESI BARAT,2023,5.23,2.6550000000000002,437387.0,432169.0,Sulawesi
SULAWESI BARAT,2024,4.76,2.85,459812.0,453719.0,Sulawesi
SULAWESI BARAT,2025,5.36,3.0149999999999997,473493.0,476004.0,Sulawesi
SULAWESI SELATAN,2021,4.64,5.755,389804.0,358330.0,Sulawesi
SULAWESI SELATAN,2022,5.1,5.13,419172.0,383414.0,Sulawesi
SULAWESI SELATAN,2023,4.51,4.795,458859.0,416532.0,Sulawesi
SULAWESI SELATAN,2024,5.02,4.545,485401.0,436463.0,Sulawesi
SULAWESI SELATAN,2025,5.43,4.585,502530.0,456048.0,Sulawesi
SULAWESI TENGAH,2021,11.68,3.74,506383.0,492234.0,Sulawesi
SULAWESI TENGAH,2022,15.22,3.335,538018.0,525665.0,Sulawesi
SULAWESI TENGAH,2023,11.91,3.22,579063.0,563068.0,Sulawesi
SULAWESI TENGAH,2024,9.89,3.045,612668.0,594692.0,Sulawesi
SULAWESI TENGAH,2025,8.47,2.9699999999999998,638441.0,617865.0,Sulawesi
SULAWESI TENGGARA,2021,4.1,4.07,394183.0,369824.0,Sulawesi
SULAWESI TENGGARA,2022,5.53,3.61,420442.0,394734.0,Sulawesi
SULAWESI TENGGARA,2023,5.35,3.4050000000000002,463387.0,431962.0,Sulawesi
SULAWESI TENGGARA,2024,5.4,3.1550000000000002,485632.0,448359.0,Sulawesi
SULAWESI TENGGARA,2025,5.79,3.29,520957.0,467814.0,Sulawesi
SULAWESI UTARA,2021,4.16,7.17,416158.0,404635.0,Sulawesi
SULAWESI UTARA,2022,5.42,6.5600000000000005,433470.0,419589.0,Sulawesi
SULAWESI UTARA,2023,5.48,6.145,470822.0,454781.0,Sulawesi
SULAWESI UTARA,2024,5.39,5.915,498271.0,481647.0,Sulawesi
SULAWESI UTARA,2025,5.66,6.01,546021.0,510678.0,Sulawesi
SUMATERA BARAT,2021,3.29,6.595,580937.0,556181.0,Sumatera
SUMATERA BARAT,2022,4.36,6.225,622579.0,598431.0,Sumatera
SUMATERA BARAT,2023,4.62,5.92,682515.0,652709.0,Sumatera
SUMATERA BARAT,2024,4.37,5.77,723567.0,691901.0,Sumatera
SUMATERA BARAT,2025,3.37,5.655,753614.0,704232.0,Sumatera
SUMATERA SELATAN,2021,3.58,5.075,485439.0,441415.0,Sumatera
SUMATERA SELATAN,2022,5.24,4.6850000000000005,515925.0,467139.0,Sumatera
SUMATERA SELATAN,2023,5.08,4.32,556102.0,500688.0,Sumatera
SUMATERA SELATAN,2024,5.03,3.915,589596.0,533792.0,Sumatera
SUMATERA SELATAN,2025,5.35,3.79,624550.0,557253.0,Sumatera
SUMATERA UTARA,2021,2.61,6.17,543085.0,504685.0,Sumatera
SUMATERA UTARA,2022,4.73,5.8149999999999995,583221.0,534184.0,Sumatera
SUMATERA UTARA,2023,5.01,5.5649999999999995,626782.0,573500.0,Sumatera
SUMATERA UTARA,2024,5.03,5.35,667922.0,610264.0,Sumatera
SUMATERA UTARA,2025,4.53,5.1850000000000005,694542.0,630844.0,Sumatera
